row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56
14_9,3,10,12,15,23,29,92,32,26,33,13,27,7,2,3,8,6
14_10,4,12,14,18,24,28,100,32,24,36,12,32,8,2,4,6,4
15_1,3,9,16,20,24,29,101,32,26,33,15,36,6,7,4,4,5
15_2,8,11,18,24,27,31,119,39,23,38,16,42,3,7,6,3,4
15_3,4,8,12,17,22,27,90,31,23,30,14,29,4,4,5,5,5
15_4,4,9,13,18,23,27,94,31,23,32,14,31,5,4,5,5,4
15_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4
15_6,3,9,12,16,24,27,91,30,24,33,15,28,6,3,4,8,3
15_7,5,8,12,15,21,26,87,31,21,29,13,27,3,4,3,6,5
15_8,4,9,13,15,21,26,88,30,22,30,12,28,5,4,2,6,5
15_9,3,8,13,15,23,25,87,28,22,31,15,28,5,5,2,8,2
15_10,3,9,13,16,24,27,92,30,24,33,15,29,6,4,3,8,3
16_1,2,4,12,18,22,26,84,28,24,26,18,30,2,8,6,4,4
16_2,7,8,16,19,25,27,102,34,20,33,17,35,1,8,3,6,2
16_3,3,7,14,18,23,26,91,29,23,30,16,32,4,7,4,5,3
16_4,4,9,13,18,23,27,94,31,23,32,14,31,5,4,5,5,4
16_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4
16_6,3,8,13,14,19,27,84,30,24,27,11,27,5,5,1,5,8
16_7,3,5,9,11,17,27,72,30,24,22,12,20,2,4,2,6,10
16_8,2,6,12,13,18,27,78,29,25,24,12,25,4,6,1,5,9
16_9,1,7,13,16,23,29,89,30,28,30,16,29,6,6,3,7,6
16_10,6,12,17,20,25,29,109,35,23,37,13,37,6,5,3,5,4
17_1,2,7,15,17,22,27,90,29,25,29,15,32,5,8,2,5,5
17_2,3,6,16,20,25,27,97,30,24,31,19,36,3,10,4,5,2
17_3,2,5,12,17,22,27,85,29,25,27,17,29,3,7,5,5,5
17_4,4,8,13,18,22,27,92,31,23,30,14,31,4,5,5,4,5
17_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
17_6,5,8,11,14,22,24,84,29,19,30,14,25,3,3,3,8,2
17_7,6,9,13,19,23,25,95,31,19,32,14,32,3,4,6,4,2
17_8,4,8,12,16,19,23,82,27,19,27,11,28,4,4,4,3,4
17_9,3,8,13,16,21,25,86,28,22,29,13,29,5,5,3,5,4
17_10,6,13,17,19,23,27,105,33,21,36,10,36,7,4,2,4,4
18_1,3,8,15,17,20,27,90,30,24,28,12,32,5,7,2,3,7
18_2,4,10,16,20,25,29,104,33,25,35,15,36,6,6,4,5,4
18_3,3,8,14,19,22,25,91,28,22,30,14,33,5,6,5,3,3
18_4,3,8,13,18,23,28,93,31,25,31,15,31,5,5,5,5,5
18_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4
18_6,3,9,13,15,20,23,83,26,20,29,11,28,6,4,2,5,3
18_7,2,10,15,16,19,24,86,26,22,29,9,31,8,5,1,3,5
18_8,4,10,16,19,23,28,100,32,24,33,13,35,6,6,3,4,5
18_9,5,11,15,17,22,29,99,34,24,33,11,32,6,4,2,5,7
18_10,6,12,15,19,23,30,105,36,24,35,11,34,6,3,4,4,7
19_1,2,5,12,18,25,28,90,30,26,30,20,30,3,7,6,7,3
19_2,8,11,17,20,26,28,110,36,20,37,15,37,3,6,3,6,2
19_3,4,7,12,17,23,26,89,30,22,30,16,29,3,5,5,6,3
19_4,4,8,12,18,23,27,92,31,23,31,15,30,4,4,6,5,4
19_5,4,8,13,19,24,28,96,32,24,32,16,32,4,5,6,5,4
19_6,4,10,13,13,23,26,89,30,22,33,13,26,6,3,0,10,3
19_7,2,9,12,13,19,25,80,27,23,28,10,25,7,3,1,6,6
19_8,2,10,17,18,24,29,100,31,27,34,14,35,8,7,1,6,5
19_9,3,9,14,15,24,29,94,32,26,33,15,29,6,5,1,9,5
19_10,4,13,16,19,25,28,105,32,24,38,12,35,9,3,3,6,3
20_1,1,7,13,19,24,28,92,29,27,31,17,32,6,6,6,5,4
20_2,5,10,15,21,27,30,108,35,25,37,17,36,5,5,6,6,3
20_3,4,7,13,18,22,26,90,30,22,29,15,31,3,6,5,4,4
20_4,3,7,12,17,22,26,87,29,23,29,15,29,4,5,5,5,4
20_5,4,8,13,19,24,28,96,32,24,32,16,32,4,5,6,5,4
20_6,6,11,11,13,26,31,98,37,25,37,15,24,5,0,2,13,5
20_7,4,10,11,12,21,28,86,32,24,31,11,23,6,1,1,9,7
20_8,2,9,13,13,19,27,83,29,25,28,10,26,7,4,0,6,8
20_9,1,9,12,14,20,28,84,29,27,29,11,26,8,3,2,6,8
20_10,5,11,13,14,21,27,91,32,22,32,10,27,6,2,1,7,6
21_1,3,7,13,17,24,27,91,30,24,31,17,30,4,6,4,7,3
21_2,6,9,16,22,25,27,105,33,21,34,16,38,3,7,6,3,2
21_3,2,6,13,17,20,25,83,27,23,26,14,30,4,7,4,3,5
21_4,3,8,12,17,22,27,89,30,24,30,14,29,5,4,5,5,5
21_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4
21_6,4,7,13,15,23,27,89,31,23,30,16,28,3,6,2,8,4
21_7,3,7,14,16,23,28,91,31,25,30,16,30,4,7,2,7,5
21_8,5,7,12,14,22,28,88,33,23,29,15,26,2,5,2,8,6
21_9,5,10,12,15,23,28,93,33,23,33,13,27,5,2,3,8,5
21_10,6,11,14,18,23,30,102,36,24,34,12,32,5,3,4,5,7
22_1,2,9,13,18,27,29,98,31,27,36,18,31,7,4,5,9,2
22_2,7,11,18,20,25,28,109,35,21,36,14,38,4,7,2,5,3
22_3,3,7,13,19,23,27,92,30,24,30,16,32,4,6,6,4,4
22_4,4,8,12,18,23,27,92,31,23,31,15,30,4,4,6,5,4
22_5,4,8,13,19,24,29,97,33,25,32,16,32,4,5,6,5,5
22_6,10,13,17,19,25,29,113,39,19,38,12,36,3,4,2,6,4
22_7,6,8,14,17,25,27,97,33,21,33,17,31,2,6,3,8,2
22_8,5,10,16,19,25,30,105,35,25,35,15,35,5,6,3,6,5
22_9,3,10,15,18,26,29,101,32,26,36,16,33,7,5,3,8,3
22_10,5,13,16,18,24,29,105,34,24,37,11,34,8,3,2,6,5
23_1,1,7,15,19,27,30,99,31,29,34,20,34,6,8,4,8,3
23_2,4,7,13,18,22,27,91,31,23,29,15,31,3,6,5,4,5
23_3,4,7,12,16,19,26,84,30,22,26,12,28,3,5,4,3,7
23_4,4,8,12,18,23,28,93,32,24,31,15,30,4,4,6,5,5
23_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4
23_6,2,8,11,13,22,28,84,30,26,30,14,24,6,3,2,9,6
23_7,2,8,12,12,19,26,79,28,24,27,11,24,6,4,0,7,7
23_8,2,11,17,16,23,27,96,29,25,34,12,33,9,6,-1,7,4
23_9,3,9,14,13,21,26,86,29,23,30,12,27,6,5,-1,8,5
23_10,5,11,13,14,20,27,90,32,22,31,9,27,6,2,1,6,7
24_1,1,6,14,19,25,28,93,29,27,31,19,33,5,8,5,6,3
24_2,9,15,20,23,27,31,125,40,22,42,12,43,6,5,3,4,4
24_3,3,5,11,18,23,25,85,28,22,28,18,29,2,6,7,5,2
24_4,3,7,12,18,23,27,90,30,24,30,16,30,4,5,6,5,4
24_5,4,8,13,19,24,28,96,32,24,32,16,32,4,5,6,5,4
24_6,2,8,11,12,23,28,84,30,26,31,15,23,6,3,1,11,5
24_7,2,7,10,11,21,27,78,29,25,28,14,21,5,3,1,10,6
24_8,4,7,12,13,21,27,84,31,23,28,14,25,3,5,1,8,6
24_9,2,6,12,14,21,29,84,31,27,27,15,26,4,6,2,7,8
24_10,4,10,13,16,21,30,94,34,26,31,11,29,6,3,3,5,9
25_1,2,9,15,19,24,28,97,30,26,33,15,34,7,6,4,5,4
25_2,6,10,16,19,26,29,106,35,23,36,16,35,4,6,3,7,3
25_3,3,7,12,17,20,26,85,29,23,27,13,29,4,5,5,3,6
25_4,3,8,12,17,23,27,90,30,24,31,15,29,5,4,5,6,4
